Symbol,Company,Sector,Subsector,Headquarters,CIK,DateFirstAdded,Source
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",1090872,,Wikipedia
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",320193,,Wikipedia
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",1551152,,Wikipedia
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",1559720,,Wikipedia
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1800,,Wikipedia
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",947484,,Wikipedia
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373,,Wikipedia
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",796343,,Wikipedia
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",6281,,Wikipedia
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",7084,,Wikipedia
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",8670,,Wikipedia
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",769397,,Wikipedia
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1002910,,Wikipedia
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",4904,,Wikipedia
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761,,Wikipedia
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",4977,,Wikipedia
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",5272,,Wikipedia
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",1267238,,Wikipedia
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",354190,,Wikipedia
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222,,Wikipedia
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913,,Wikipedia
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",1097149,,Wikipedia
ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",899051,,Wikipedia
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",1579241,,Wikipedia
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California",6951,,Wikipedia
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",1748790,,Wikipedia
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",2488,,Wikipedia
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1037868,,Wikipedia
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",318154,,Wikipedia
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",820027,,Wikipedia
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",1053507,,Wikipedia
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",1018724,,Wikipedia
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",1596532,,Wikipedia
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",315293,,Wikipedia
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",91142,,Wikipedia
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1841666,,Wikipedia
APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",2969,,Wikipedia
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",820313,,Wikipedia
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,"New York City, New York",1858681,,Wikipedia
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",1521332,,Wikipedia
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",1035443,,Wikipedia
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",731802,,Wikipedia
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",915912,,Wikipedia
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",1730168,,Wikipedia
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",8818,,Wikipedia
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",1410636,,Wikipedia
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",1069183,,Wikipedia
AXP,American Express,Financials,Consumer Finance,"New York City, New York",4962,,Wikipedia
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",866787,,Wikipedia
BA,Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",12927,,Wikipedia
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",70858,,Wikipedia
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",9389,,Wikipedia
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",10456,,Wikipedia
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",764478,,Wikipedia
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",10795,,Wikipedia
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",38777,,Wikipedia
BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",14693,,Wikipedia
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri",1996862,,Wikipedia
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",875045,,Wikipedia
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",1390777,,Wikipedia
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",1075531,,Wikipedia
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605,,Wikipedia
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",1316835,,Wikipedia
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2012383,,Wikipedia
BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",14272,,Wikipedia
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",1383312,,Wikipedia
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",1067983,,Wikipedia
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",79282,,Wikipedia
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",885725,,Wikipedia
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",1393818,,Wikipedia
BXP,"BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts",1037540,,Wikipedia
C,Citigroup,Financials,Diversified Banks,"New York City, New York",831001,,Wikipedia
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",23217,,Wikipedia
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",721371,,Wikipedia
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",1783180,,Wikipedia
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",18230,,Wikipedia
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159,,Wikipedia
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",1374310,,Wikipedia
CBRE,CBRE Group,Real Estate,Real Estate Services,"Dallas, Texas",1138118,,Wikipedia
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",1051470,,Wikipedia
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",815097,,Wikipedia
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",813672,,Wikipedia
CDW,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois",1402057,,Wikipedia
CEG,Constellation Energy,Utilities,Electric Utilities,"Baltimore, Maryland",1868275,,Wikipedia
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1324404,,Wikipedia
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",759944,,Wikipedia
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",313927,,Wikipedia
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1043277,,Wikipedia
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",1091667,,Wikipedia
CI,Cigna,Health Care,Health Care Services,"Bloomfield, Connecticut",1739940,,Wikipedia
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286,,Wikipedia
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York",21665,,Wikipedia
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California",21076,,Wikipedia
